id,sensorId,Type,coordinates.lat,coordinates.long,altitude,heading,speed,speedmetric,temp,observationTime,date2
1139,791517,car,39.901733,-0.118487,28.0,204,53,KilometersPerHour,,2018-05-15T11:08:55.0000000Z,2018-05-31 11:08:55
1140,1815201,truck,41.31626,2.01237,76.0,320,27,KilometersPerHour,,2018-05-15T11:09:35.0000000Z,2018-05-31 11:09:35
1141,1415074,truck,41.30664,2.13732,51.0,216,13,KilometersPerHour,,2018-05-15T11:09:08.0000000Z,2018-05-31 11:09:08
1142,1615357,car,38.12252,-0.8788,69.0,27,9,KilometersPerHour,,2018-05-15T11:09:30.0000000Z,2018-05-31 11:09:30
1143,1615257,car,43.1709,-8.31713,419.0,228,89,KilometersPerHour,,2018-05-15T11:09:30.0000000Z,2018-05-31 11:09:30
1144,1615239,car,40.10162,-3.63847,640.0,104,80,KilometersPerHour,,2018-05-15T11:09:33.0000000Z,2018-05-31 11:09:33
1145,1715790,car,41.43094,2.21222,54.0,332,57,KilometersPerHour,,2018-05-15T11:09:25.0000000Z,2018-05-31 11:09:25
1146,1715822,car,41.56727,2.27352,142.0,247,31,KilometersPerHour,,2018-05-15T11:09:35.0000000Z,2018-05-31 11:09:35
1147,1715805,car,41.49463,-1.34201,417.0,65,84,KilometersPerHour,,2018-05-15T11:09:06.0000000Z,2018-05-31 11:09:06
1148,1015060,truck,43.540842,-6.362877,160.0,282,92,KilometersPerHour,,2018-05-15T11:09:39.0000000Z,2018-05-31 11:09:39
1149,1015063,truck,39.540675,-2.94936,707.0,124,89,KilometersPerHour,,2018-05-15T11:08:55.0000000Z,2018-05-31 11:08:55
1150,1015256,truck,38.071324,-1.2228139999999998,92.0,20,31,KilometersPerHour,,2018-05-15T11:09:21.0000000Z,2018-05-31 11:09:21
1151,2415654,car,38.06491,-3.77519,348.0,170,114,KilometersPerHour,,2018-05-15T11:09:21.0000000Z,2018-05-31 11:09:21
1152,921580,truck,41.569572,2.088828,238.0,162,0,KilometersPerHour,,2018-05-15T11:09:36.0000000Z,2018-05-31 11:09:36
1153,1815566,car,41.76693,-1.12608,297.0,228,26,KilometersPerHour,,2018-05-15T11:09:37.0000000Z,2018-05-31 11:09:37
1154,1815257,car,41.76642,0.78491,267.0,234,82,KilometersPerHour,,2018-05-15T11:09:35.0000000Z,2018-05-31 11:09:35
1155,1815569,car,42.52904,-2.78626,523.0,338,103,KilometersPerHour,,2018-05-15T11:09:40.0000000Z,2018-05-31 11:09:40
1156,1815262,truck,41.43894,2.0775,313.0,0,0,KilometersPerHour,,2018-05-15T11:09:15.0000000Z,2018-05-31 11:09:15
1157,4915469,truck,49.208443,4.037533,114.0,58,90,KilometersPerHour,14.5,2018-05-15T11:09:14.0000000Z,2018-05-31 11:09:14
1158,4915487,truck,41.534582,-0.515934,229.0,118,88,KilometersPerHour,-20.5,2018-05-15T11:09:24.0000000Z,2018-05-31 11:09:24
1159,4915460,truck,43.944963,-0.394983,103.0,184,0,KilometersPerHour,13.1,2018-05-15T11:09:13.0000000Z,2018-05-31 11:09:13
1160,4915457,truck,42.817781,-2.778915,516.0,140,0,KilometersPerHour,3.2,2018-05-15T11:09:24.0000000Z,2018-05-31 11:09:24
1161,4915451,truck,37.730171,-1.548385,253.0,58,0,KilometersPerHour,,2018-05-15T11:09:14.0000000Z,2018-05-31 11:09:14
1162,1815159,car,42.13419,1.99343,901.0,99,0,KilometersPerHour,,2018-05-15T11:09:45.0000000Z,2018-05-31 11:09:45
1163,1815188,truck,51.7148,8.7306,163.0,0,0,KilometersPerHour,,2018-05-15T11:08:52.0000000Z,2018-05-31 11:08:52
1164,1115587,car,39.14316,-0.43843,89.0,286,19,KilometersPerHour,,2018-05-15T11:09:29.0000000Z,2018-05-31 11:09:29
1165,4415333,truck,39.649428,-0.230865,15.0,258,0,KilometersPerHour,,2018-05-15T11:09:34.0000000Z,2018-05-31 11:09:34
1166,4415267,truck,48.812849,2.6287540000000003,115.0,328,90,KilometersPerHour,,2018-05-15T11:09:31.0000000Z,2018-05-31 11:09:31
